ClassParamID	Desc	Name	BindMoney	Money	Coin	Genre	DetailType	ParticularType	Level	Series	EnhTimes	Amount	Exp	BaseExp	MKP	GTP	SkillId	SkillLevel	SkillTime	Bind	TimeLimit	Announce	FriendMsg
Vật phẩm ExtParam1	Túi quà	Mở được	Bạc khóa	Bạc		Loại lớn	Loại con	Loại chi tiết	Cấp	Ngũ hành	Cường hóa	Số lượng	Kinh nghiệm	Kinh nghiệm chuẩn	Tinh lực	Sinh lực	ID kỹ năng (kỹ năng BUFF)	Cấp kỹ năng	Thời gian duy trì kỹ năng (đơn vị: phút)	Khóa	Hiệu lực (định dạng giống ItemTimeOut) nếu không điền  tùy thuộc hiệu lực của Túi quà  0 tức không giới hạn thời gian	Thế giới	Hảo hữu
1	Túi quà thăng cấp	Kẹo giáng sinh				18	1	271	1	0	0	10											
1	Túi quà thăng cấp	Đại Bạch Câu Hoàn				18	1	71	2	0	0	5											
1	Túi quà thăng cấp	Tu Luyện Đơn				18	1	258	1	0	0												
2	Túi quà cường hóa	Thỏi vàng				18	1	118	1	0	0												
2	Túi quà cường hóa	Huyền Tinh cấp 5				18	1	1	5	0	0	10											
2	Túi quà cường hóa	Huyền Tinh cấp 7				18	1	1	7	0	0	1											
3	Túi quà danh vọng	Lệnh bài Uy danh giang hồ				18	1	236	1	0	0	5											
3	Túi quà danh vọng	Lệnh bài chúc phúc (sơ)				18	1	212	1	0	0	1											
3	Túi quà danh vọng	Lệnh Bài Bạch Hổ Đường (cao)				18	1	111	3	0	0	5											
3	Túi quà danh vọng	Lệnh bài gia tộc (cao)				18	1	110	3	0	0	5											
4	Túi quà Tu Luyện Đơn	Tu Luyện Đơn [không khóa]				18	1	258	1	0	0	1											
4	Túi quà Tu Luyện Đơn	Tu Luyện Đơn [khóa]				18	1	258	1	0	0	2								1			
5	Túi quà Lệnh bài chúc phúc	Lệnh bài chúc phúc (cao)				18	1	212	3	0	0	2											
6	Túi quà Huyền Tinh cấp 7	Huyền Tinh thường (cấp 7) [không khóa]				18	1	1	7	0	0	1											
