ID	IconPosition	Text	Size	Color	Icon	TextPosition
1	"499,290"	Binh Khí	12	yellow	yellowpoint.spr	"499,278"
2	"538,277"	Phòng Cụ	12	yellow	yellowpoint.spr	"530,265"
3	"561,269"	Trang Sức	12	yellow	yellowpoint.spr	"566,257"
4	"605,265"	Thuốc	12	yellow	yellowpoint.spr	"605,253"
5	"626,279"	Tạp Hóa	12	yellow	yellowpoint.spr	"628,267"
6	"667,305"	Tửu Lầu	12	yellow	yellowpoint.spr	"667,293"
7	"687,230"	Gỗ	12	yellow	yellowpoint.spr	"687,218"
8	"740,210"	Da	12	yellow	yellowpoint.spr	"740,198"
9	"395,461"	Dã Luyện Đại Sư	12	yellow	yellowpoint.spr	"395,449"
10	"661,368"	Bao Vạn Đồng	12	yellow	yellowpoint.spr	"661,356"
11	"427,163"	Diệp Chỉ Lâm	12	yellow	yellowpoint.spr	"427,151"
12	"419,343"	Công Bình Tử	12	yellow	yellowpoint.spr	"419,331"
13	"605,203"	Lễ Quan	12	yellow	yellowpoint.spr	"605,191"
14	"581,316"	Thủ Khố	12	yellow	yellowpoint.spr	"581,304"
15	"775,183"	Xa Phu	12	yellow	yellowpoint.spr	"770,171"
16	"808,181"	Thủ Khố	12	yellow	yellowpoint.spr	"818,169"
17	"771,383"	Xa Phu	12	yellow	yellowpoint.spr	"771,371"
18	"744,402"	Thủ Khố	12	yellow	yellowpoint.spr	"738,390"
19	"413,371"	Xa Phu	12	yellow	yellowpoint.spr	"417,359"
20	"372,362"	Thủ Khố	12	yellow	yellowpoint.spr	"364,350"
21	"388,123"	Xa Phu	12	yellow	yellowpoint.spr	"388,111"
22	"351,139"	Thủ Khố	12	yellow	yellowpoint.spr	"351,127"
23	"266,464"	Ba Lăng Huyện	12	yellow	icon_southeast.spr	"266,450"
24	"870,129"	Vĩnh Lạc Trấn	12	yellow	icon_northwest.spr	"868,115"
25	"230,74"	Võ Đang Phái	12	yellow	icon_northwest.spr	"230,60"
26	"190,115"	Kiếm Môn Quan [cấp 85]	12	yellow	icon_west.spr	"190,101"
27	"822,471"	Hán Thủy Cổ Độ [cấp 55]	12	yellow	icon_southeast.spr	"818,457"
28	"497,141"	Bán Ngựa	12	yellow	yellowpoint.spr	"497,129"
29	"275,264"	Chiêu Mộ Sứ (Kim)	12	yellow	yellowpoint.spr	"275,252"
30	"737,275"	Chiêu Mộ Sứ (Tống)	12	yellow	yellowpoint.spr	"737,263"
31	"448,315"	Đặc Sứ Võ Lâm Minh Chủ	12	yellow	yellowpoint.spr	"448,303"
32	"510,400"	Hộ Vệ Bạch Hổ Đường	12	yellow	yellowpoint.spr	"510,388"
33	"518,470"	Vân Du Tăng Nhân	12	yellow	yellowpoint.spr	"518,458"
34	"342,230"	Tiếp Dẫn Ải Gia Tộc	12	yellow	yellowpoint.spr	"342,218"
35	"456,374"	Thương Nhân Đặc Sản	13	yellow	yellowpoint.spr	"456,362"
36	"518,206"	Chủ Thương Hội	13	yellow	yellowpoint.spr	"518,194"
37	"523,360"	Sứ Giả Thịnh Hạ	13	yellow	yellowpoint.spr	"523,348"
38	"566,225"	Bổ Đầu Hình Bộ	13	yellow	yellowpoint.spr	"566,213"
39	"794,224"	Quan Liên Đấu (sơ)	13	yellow	yellowpoint.spr	"810,212"
40	"414,248"	Quan Liên Đấu (cao)	13	yellow	yellowpoint.spr	"414,236"
41	"838,364"	Tiền Trang	13	yellow	yellowpoint.spr	"838,352"
42	"623,337"	Giao dịch đồng	13	yellow	yellowpoint.spr	"623,325"
43	"412,410"	Phát Mãi Sư	13	yellow	yellowpoint.spr	"412,398"
44	"412,410"	Phát Mãi Sư	13	yellow	yellowpoint.spr	"412,398"
45	"800,298"	Quan Lãnh Thổ	12	yellow	yellowpoint.spr	"800,286"
46	"844,327"	Bang hội liên minh sứ	12	yellow	yellowpoint.spr	"844,315"
47	"0,0"	Ông già Noel	12	yellow	yellowpoint.spr	"0,0"
48	"243,218"	Tướng Viễn Chinh Thiết Phù	12	yellow	yellowpoint.spr	"243,202"
54	"659,184"	Công Thành Quan	13	yellow	yellowpoint.spr	"659,174"
